"UserID";"UserType";"Email";"UserName";"Password"
1;"PetOwner";"alice@example.com";"alice_m";"Alice@2025"
2;"PetOwner";"john@example.com";"john_s";"John$Secure1"
3;"PetOwner";"priya@example.com";"priya_n";"Priya!456"
4;"PetOwner";"liam@example.com";"liam_c";"LiamPass789"
5;"PetOwner";"sara@example.com";"sara_l";"Sara_321"
6;"ServiceProvider";"sophie@example.com";"sophie_d";"Sophie#22"
7;"ServiceProvider";"jason@example.com";"jason_r";"Jason$doggo"
8;"ServiceProvider";"leo@example.com";"leo_m";"Leo_Pass2025"
9;"ServiceProvider";"anna@example.com";"anna_b";"Anna!walks"
10;"ServiceProvider";"carlos@example.com";"carlos_s";"Carl0s@123"
11;"PetOwner";"carlosr@example.com";"carlos_r";"CRpass456"
12;"ServiceProvider";"emilyt@example.com";"emily_t";"Emily_T!"
13;"PetOwner";"emilyz@example.com";"emily_z";"EmZ#secure"
14;"ServiceProvider";"benyu@example.com";"ben_y";"BenY^77"
15;"PetOwner";"georgeh@example.com";"george_h";"Geo1234!"
16;"PetOwner";"zara@example.com";"zara_k";"Zara*Pet"
17;"PetOwner";"ben@example.com";"ben_t";"BenT_secure"
18;"PetOwner";"amanda@example.com";"amanda_r";"Amanda!2025"
19;"PetOwner";"nina@example.com";"nina_w";"NinaW@89"
20;"PetOwner";"david@example.com";"david_k";"D_K_pass99"
21;"PetOwner";"tina@example.com";"tina_s";"Tina_Secure1"
22;"PetOwner";"rickw@example.com";"rick_w";"Rick!4455"
23;"ServiceProvider";"tinal@example.com";"tina_l";"TinaL_654"
24;"ServiceProvider";"georgep@example.com";"george_p";"GeoP@321"
25;"ServiceProvider";"sarap@example.com";"sara_p";"SaraP$dog"
26;"ServiceProvider";"ninaf@example.com";"nina_f";"NinaF^walk"
27;"ServiceProvider";"rickwest@example.com";"rick_west";"RWest_88!"
28;"ServiceProvider";"amandac@example.com";"amanda_c";"AC_PetCare"
29;"ServiceProvider";"zaneh@example.com";"zane_h";"Zane!xyz1"
30;"ServiceProvider";"priyam@example.com";"priya_m";"PM_secure22"
31;"ServiceProvider";"olivia.west@example.com";"olivia_w";"Olivia!2025"
32;"ServiceProvider";"harry.taylor@example.com";"harry_t";"Harry#2025"
33;"ServiceProvider";"megan.lane@example.com";"megan_l";"Megan$Pet1"
34;"ServiceProvider";"lucas.mills@example.com";"lucas_m";"Lucas@Secure"
35;"ServiceProvider";"ella.king@example.com";"ella_k";"Ella@123"
36;"ServiceProvider";"ethan.gray@example.com";"ethan_g";"EthanG$2025"
37;"ServiceProvider";"mia.ross@example.com";"mia_r";"Mia!dogs"
38;"ServiceProvider";"jack.hill@example.com";"jack_h";"Jack*Pet!"
39;"ServiceProvider";"ava.lee@example.com";"ava_l";"Ava$Secure2"
40;"ServiceProvider";"noah.green@example.com";"noah_g";"Noah_G!99"
41;"ServiceProvider";"chloe.davis@example.com";"chloe_d";"Chloe!abc"
42;"ServiceProvider";"liam.white@example.com";"liam_w";"LiamW@Pet"
43;"ServiceProvider";"grace.bell@example.com";"grace_b";"Grace_Pet1"
44;"ServiceProvider";"logan.bryant@example.com";"logan_b";"LoganSecure!"
45;"ServiceProvider";"ruby.james@example.com";"ruby_j";"Ruby@2025"
46;"ServiceProvider";"jayden.cooper@example.com";"jayden_c";"Jayden123!"
47;"ServiceProvider";"sienna.morgan@example.com";"sienna_m";"Sienna^Walk"
48;"ServiceProvider";"owen.hayes@example.com";"owen_h";"Owen#Dog"
49;"ServiceProvider";"lily.bennett@example.com";"lily_b";"Lily!Cat99"
50;"ServiceProvider";"mason.reid@example.com";"mason_r";"Mason_Pet$"
51;"PetOwner";"bella@example.com";"bella_m";"Bella@123"
52;"PetOwner";"logan@example.com";"logan_d";"LoganD!456"
53;"PetOwner";"mia@example.com";"mia_l";"Mia_Love99"
54;"PetOwner";"noah@example.com";"noah_p";"NoahSecure#1"
55;"PetOwner";"ava@example.com";"ava_r";"Ava_Rose88"
56;"PetOwner";"lucas@example.com";"lucas_j";"Lucas_J!22"
57;"PetOwner";"chloe@example.com";"chloe_g";"Chloe2025*"
58;"PetOwner";"ethan@example.com";"ethan_s";"EthanPass!"
59;"PetOwner";"grace@example.com";"grace_k";"GraceK#789"
60;"PetOwner";"jack@example.com";"jack_b";"JackB_Pet1"
